"Rec No","Id","Date","Time","Comments"
2,1,77741,4657372,"TDCC 309 B/L Export - Customs                                                   "
3,2,77741,4683918,"TDCC 309 B/L Export - Customs                                                   "
4,3,77741,4791256,"TDCC 309 B/L Export - Customs                                                   "
5,4,77742,3003028,"TDCC 309 B/L Export - Customs                                                   "
6,5,77742,3094040,"TDCC 309 B/L Export - Customs                                                   "
7,6,77742,3405387,"TDCC 309 B/L Export - Customs                                                   "
8,7,77742,3594456,"TDCC 309 B/L Export - Customs                                                   "
9,8,77742,3654092,"TDCC 309 B/L Export - Customs                                                   "
10,9,77742,3696216,"TDCC 309 B/L Export - Customs                                                   "
11,10,77742,3752785,"TDCC 309 B/L Export - Customs                                                   "
12,11,77743,4597949,"TDCC 309 B/L Export - Customs                                                   "
13,12,77743,4626322,"TDCC 309 B/L Export - Customs                                                   "
14,13,77743,4662438,"TDCC 309 B/L Export - Customs                                                   "
15,14,77744,4321307,"TDCC 309 B/L Export - Customs                                                   "
16,15,77744,4371251,"TDCC 309 B/L Export - Customs                                                   "
17,16,77744,4398961,"TDCC 309 B/L Export - Customs                                                   "
18,17,77744,4445238,"TDCC 309 B/L Export - Customs                                                   "
19,18,77744,4455535,"TDCC 309 B/L Export - Customs                                                   "
20,19,77744,4740545,"TDCC 309 B/L Export - Customs                                                   "
21,20,77744,5587548,"TDCC 309 B/L Export - Customs                                                   "
22,21,77744,5949799,"TDCC 309 B/L Export - Customs                                                   "
23,22,77744,6004792,"TDCC 309 B/L Export - Customs                                                   "
24,23,77744,6044879,"TDCC 309 B/L Export - Customs                                                   "
25,24,77744,6241695,"TDCC 309 B/L Export - Customs                                                   "
26,25,77744,6311004,"TDCC 309 B/L Export - Customs                                                   "
27,26,77746,6184455,"TDCC 309 B/L Export - Customs                                                   "
28,27,77747,4463890,"TDCC 309 B/L Export - Customs                                                   "
29,28,77747,4586525,"TDCC 309 B/L Export - Customs                                                   "
30,29,77747,4611844,"TDCC 309 B/L Export - Customs                                                   "
31,30,77747,4861511,"TDCC 309 B/L Export - Customs                                                   "
32,31,77750,5729250,"TDCC 309 B/L Export - Customs                                                   "
33,32,77754,5424515,"TDCC 309 B/L Export - Customs                                                   "
34,33,77754,5442998,"TDCC 309 B/L Export - Customs                                                   "
35,34,77754,5530663,"TDCC 309 B/L Export - Customs                                                   "
36,35,77754,5600677,"TDCC 309 B/L Export - Customs                                                   "
37,36,77754,5837661,"TDCC 309 B/L Export - Customs                                                   "
38,37,77757,4370772,"TDCC 309 B/L Export - Customs                                                   "
39,38,77758,3025421,"TDCC 309 B/L Export - Customs                                                   "
40,39,77760,3207722,"TDCC 309 B/L Export - Customs                                                   "
41,40,77760,3592584,"TDCC 309 B/L Export - Customs                                                   "
42,41,77760,3726954,"TDCC 309 B/L Export - Customs                                                   "
43,42,77760,3748253,"TDCC 309 B/L Export - Customs                                                   "
44,43,77760,3814656,"TDCC 309 B/L Export - Customs                                                   "
45,44,77760,3854613,"TDCC 309 B/L Export - Customs                                                   "
46,45,77760,3925561,"TDCC 309 B/L Export - Customs                                                   "
47,46,77760,3958488,"TDCC 309 B/L Export - Customs                                                   "
48,47,77760,4001724,"TDCC 309 B/L Export - Customs                                                   "
49,48,77760,4013991,"TDCC 309 B/L Export - Customs                                                   "
50,49,77760,4030418,"TDCC 309 B/L Export - Customs                                                   "
51,50,77760,4041830,"TDCC 309 B/L Export - Customs                                                   "
52,51,77760,4104118,"TDCC 309 B/L Export - Customs                                                   "
53,52,77760,4133868,"TDCC 309 B/L Export - Customs                                                   "
54,53,77760,4164937,"TDCC 309 B/L Export - Customs                                                   "
55,54,77760,4292450,"TDCC 309 B/L Export - Customs                                                   "
56,55,77764,5797863,"TDCC 309 B/L Export - Customs                                                   "
57,56,77765,3119065,"TDCC 309 B/L Export - Customs                                                   "
58,57,77765,3198792,"TDCC 309 B/L Export - Customs                                                   "
59,58,77767,3834069,"TDCC 309 B/L Export - Customs                                                   "
60,59,77767,3957680,"TDCC 309 B/L Export - Customs                                                   "
61,60,77767,4213587,"TDCC 309 B/L Export - Customs                                                   "
62,61,77767,4288049,"TDCC 309 B/L Export - Customs                                                   "
63,62,77767,5362976,"TDCC 309 B/L Export - Customs                                                   "
64,63,77767,5410457,"TDCC 309 B/L Export - Customs                                                   "
65,64,77767,5573917,"TDCC 309 B/L Export - Customs                                                   "
66,65,77772,3819778,"TDCC 309 B/L Export - Customs                                                   "
67,66,77772,3837617,"TDCC 309 B/L Export - Customs                                                   "
68,67,77775,4341954,"TDCC 309 B/L Export - Customs                                                   "
69,68,77775,4358284,"TDCC 309 B/L Export - Customs                                                   "
70,69,77775,4374254,"TDCC 309 B/L Export - Customs                                                   "
71,70,77778,4522142,"TDCC 309 B/L Export - Customs                                                   "
72,71,77778,4566486,"TDCC 309 B/L Export - Customs                                                   "
73,72,77778,4593359,"TDCC 309 B/L Export - Customs                                                   "
74,73,77778,4613668,"TDCC 309 B/L Export - Customs                                                   "
75,74,77778,4630051,"TDCC 309 B/L Export - Customs                                                   "
76,75,77778,4632980,"TDCC 309 B/L Export - Customs                                                   "
77,76,77778,4649466,"TDCC 309 B/L Export - Customs                                                   "
78,77,77778,4859460,"TDCC 309 B/L Export - Customs                                                   "
79,78,77778,4866854,"TDCC 309 B/L Export - Customs                                                   "
80,79,77778,5782233,"TDCC 309 B/L Export - Customs                                                   "
81,80,77778,5961975,"TDCC 309 B/L Export - Customs                                                   "
82,81,77779,2756971,"TDCC 309 B/L Export - Customs                                                   "
83,82,77779,2759514,"TDCC 309 B/L Export - Customs                                                   "
84,83,77779,2765015,"TDCC 309 B/L Export - Customs                                                   "
85,84,77779,3774884,"TDCC 309 B/L Export - Customs                                                   "
86,85,77786,3707677,"TDCC 309 B/L Export - Customs                                                   "
87,86,77786,3731755,"TDCC 309 B/L Export - Customs                                                   "
88,87,77799,4676567,"TDCC 309 B/L Export - Customs                                                   "
89,88,77799,4703155,"TDCC 309 B/L Export - Customs                                                   "
90,89,77800,5269002,"TDCC 309 B/L Export - Customs                                                   "
91,90,77813,3576515,"TDCC 309 B/L Export - Customs                                                   "
92,91,77820,5896264,"TDCC 309 B/L Export - Customs                                                   "
93,92,77820,5927396,"TDCC 309 B/L Export - Customs                                                   "
94,93,77821,3829239,"TDCC 309 B/L Export - Customs                                                   "
95,94,77821,3864358,"TDCC 309 B/L Export - Customs                                                   "
96,95,77821,3964361,"TDCC 309 B/L Export - Customs                                                   "
97,96,77821,3982613,"TDCC 309 B/L Export - Customs                                                   "
98,97,77821,4607259,"TDCC 309 B/L Export - Customs                                                   "
99,98,77821,4790493,"TDCC 309 B/L Export - Customs                                                   "
100,99,77821,5456241,"TDCC 309 B/L Export - Customs                                                   "
101,100,77827,4955248,"TDCC 309 B/L Export - Customs                                                   "
102,101,77827,4988872,"TDCC 309 B/L Export - Customs                                                   "
103,102,77827,5329647,"TDCC 309 B/L Export - Customs                                                   "
104,103,77827,5699008,"TDCC 309 B/L Export - Customs                                                   "
105,104,77828,2951505,"TDCC 309 B/L Export - Customs                                                   "
106,105,77830,5435739,"TDCC 309 B/L Export - Customs                                                   "
107,106,77831,3523480,"TDCC 309 B/L Export - Customs                                                   "
108,107,77837,5094432,"TDCC 309 B/L Export - Customs                                                   "
109,108,77841,5478531,"TDCC 309 B/L Export - Customs                                                   "
110,109,77841,5632781,"TDCC 309 B/L Export - Customs                                                   "
111,110,77841,5701062,"TDCC 309 B/L Export - Customs                                                   "
112,111,77842,2865386,"TDCC 309 B/L Export - Customs                                                   "
113,112,77845,3232247,"TDCC 309 B/L Export - Customs                                                   "
114,113,77852,5028419,"TDCC 309 B/L Export - Customs                                                   "
115,114,77852,5057214,"TDCC 309 B/L Export - Customs                                                   "
116,115,77852,5116863,"TDCC 309 B/L Export - Customs                                                   "
117,116,77855,5757783,"TDCC 309 B/L Export - Customs                                                   "
118,117,77859,3036757,"TDCC 309 B/L Export - Customs                                                   "
119,118,77859,3188456,"TDCC 309 B/L Export - Customs                                                   "
120,119,77859,3214004,"TDCC 309 B/L Export - Customs                                                   "
121,120,77862,5731677,"TDCC 309 B/L Export - Customs                                                   "
122,121,77866,5299567,"TDCC 309 B/L Export - Customs                                                   "
123,122,77866,5364539,"TDCC 309 B/L Export - Customs                                                   "
124,123,77866,5428384,"TDCC 309 B/L Export - Customs                                                   "
125,124,77866,5434164,"TDCC 309 B/L Export - Customs                                                   "
126,125,77866,5715117,"TDCC 309 B/L Export - Customs                                                   "
127,126,77870,3738625,"TDCC 309 B/L Export - Customs                                                   "
128,127,77873,5364835,"TDCC 309 B/L Export - Customs                                                   "
129,128,77873,5420545,"TDCC 309 B/L Export - Customs                                                   "
130,129,77873,5483739,"TDCC 309 B/L Export - Customs                                                   "
131,130,77880,3174197,"TDCC 309 B/L Export - Customs                                                   "
