"Rec No","Chrgitmid","Chrgitmcode","Chrgitmname","Chrgitmbasis","Chrgitmbasis1","Chrgitmbasis2","Chrgitmotherbasis1","Chrgitmotherbasis2","Chrgitmoperator","Chrgitmrate","Chrgitmchargeprofile","Chrgitmchargeprofileselect","Chrgitmprofileusage","Chrgitmrateprofile","Chrgitmrateprofileselect","Chrgitmperfactor","Chrgitmperperiod","Chrgitmdivisor","Chrgitmdivisor1","Chrgitmdivisor2","Chrgitmround","Chrgitmround1","Chrgitmround2","Chrgitmbasisunit","Chrgitmbasis1unit","Chrgitmbasis2unit","Chrgitmfixedamt","Chrgitmminimumvalue","Chrgitmmaximumvalue","Chrgitmignorecurrency","Chrgitmcurrency","Chrgitmdebitglaccountid","Chrgitmcreditglaccountid","Chrgitmimportprepaidflag","Chrgitmexportprepaidflag","Chrnitmimportfcllclflag","Commodity","Package","Individual"
2,1,"WHARF     ","Wharfage                                ","Fixed               ","                    ","                    ",0,0,"Non",50.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
5,4,"C86       ","C86                                     ","Fixed               ","                    ","                    ",0,0,"Non",158.75,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
6,5,"FC        ","FREIGHT COLLECT                         ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,2,0,0,"          ","          ","          ",0,0,0
7,6,"TES       ","TEST CHARGE                             ","Fixed               ","                    ","                    ",0,0,"Non",25.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,1
8,7,"HLD       ","HANDLING                                ","Fixed               ","                    ","                    ",0,0,"Non",250.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",1,1,0,0,"          ","          ","          ",0,0,0
9,8,"WHF       ","Wharfage & Security                     ","Fixed               ","                    ","                    ",0,0,"Non",698.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
10,9,"1 BRL     ","WHARFAGE,STRIPPING                      ","Fixed               ","                    ","                    ",0,0,"Non",2550.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
11,10,"2 BRL     ","WHARFAGE,STRIPPING                      ","Fixed               ","                    ","                    ",0,0,"Non",5550.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
12,11,"3 BRL     ","WHARFAGE,STRIPPING                      ","Fixed               ","                    ","                    ",0,0,"Non",8550.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
13,12,"WHL       ","WHARFAGE & STRIPPING                    ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
