"Rec No","Fexdtlcurrency","Fexdtldate","Fexdtlrate"
7,2,75916,76.5
8,2,75704,0.0
9,2,75704,72.5
10,2,75947,80.5
11,2,75979,81.0
12,2,75989,82.5
13,2,75996,84.0
14,2,76000,85.0
15,2,76014,88.0
16,2,76015,89.0
17,2,76078,90.0
18,2,76091,91.0
19,2,76105,90.0
20,2,76115,91.0
21,2,76567,88.0
22,2,76592,90.0
24,2,77360,96.0
25,2,77410,98.0
26,2,77495,100.0
27,2,77529,105.0
28,2,77600,107.0
29,2,77737,110.0
30,2,77862,113.0
31,2,77921,115.0
32,2,78173,117.0
33,2,78345,120.0
34,2,78445,123.0
35,2,78607,125.0
36,2,78661,128.0
37,2,78712,132.0
38,2,79035,135.0
39,2,79193,130.0
