"Rec No","Voyconid","Voyconvgeptr","Voyconcontainer","Voyconportorigin","Seal"
           2,            0,            2,"TPHU23458",            0,
           3,            0,            3,"FBLU-903096",            0,
           4,            0,            4,"cnu100214",            0,
           5,            0,            8,"CNT12055",            0,
           6,            0,            5,"CNT001",            0,
           7,            0,            1,"SMLU7807373",            0,
           8,            0,            2,"SMLU7807373",            0,
           9,            0,            3,"SMLU7844839",            0,
          10,            0,            4,"SMLU7818362",            0,
          11,            0,            5,"SMLU7823625",            0,
          12,            0,            6,"SMLU7835098",            0,
          13,            0,            7,"TRIU9812707",            0,
          14,            0,            8,"GLDU0606220",            0,
          15,            0,            9,"SMLU4936227",            0,
          16,            0,           10,"SMLU7815424",            0,
          17,            0,           11,"GLDU9050111",            0,
          18,            0,           12,"SMLU7829639",            0,
          19,            0,           13,"SMLU7811049",            0,
          20,            0,           14,"SMLU7842986",            0,
          21,            0,           15,"UESU5264160",            0,
          22,            0,           16,"SMLU782126",            0,
          23,            0,           17,"SMLU7821263",            0,
          24,            0,           18,"SCZU7991984",            0,
          25,            0,           19,"TRLU1924536",            0,
          26,            0,           20,"SMLU7803927",            0,
          27,            0,           21,"TRLU9083056",            0,
          28,            0,           22,"TRLU5531687",            0,
          29,            0,           23,"AMFU8592018",            0,
          30,            0,           24,"SMLU7825166",            0,
          31,            0,           25,"TGHU7744655",            0,
          32,            0,           26,"TGHU7493550",            0,
          33,            0,           27,"SMLU7822758",            0,
          34,            0,           28,"INKU4592825",            0,
          35,            0,           29,"UESU5211832",            0,
          36,            0,           30,"TRLU5527265",            0,
          37,            0,           31,"TRLU5542439",            0,
          38,            0,           32,"SMLU7833120",            0,
          39,            0,           33,"CHLU237937",            0,
          40,            0,           34,"CLHU2379370",            0,
          41,            0,           35,"SMLU2539540",            0,
          42,            0,           36,"SMLU7801586",            0,
          43,            0,           37,"SMLU7825079",            0,
          44,            0,           38,"GSTU7576312",            0,
          45,            0,           39,"TCKU9359340",            0,
          46,            0,           40,"TRLU5504315",            0,
          47,            0,           41,"SMLU7829897",            0,
          48,            0,           42,"SMLU4920560",            0,
          49,            0,           43,"FSCU6283437",            0,
          50,            0,           44,"SMLU7839278",            0,
          51,            0,           45,"GLDU7219440",            0,
          52,            0,           46,"SMLU7835842",            0,
          53,            0,           47,"TCKU9290278",            0,
          54,            0,           48,"SMLU7844248",            0,
          55,            0,           49,"TRLU5605861",            0,
          56,            0,           50,"INKU2819308",            0,
          57,            0,           51,"TRLU5301787",            0,
          58,            0,           52,"SMLU7815189",            0,
          59,            0,           53,"SMLU7804590",            0,
          60,            0,           54,"SMLU7843447",            0,
          61,            0,           55,"TGHU8303802",            0,
          62,            0,           56,"SMLU7847545",            0,
          63,            0,           57,"SMLU7828268",            0,
          64,            0,           58,"GESU4933924",            0,
          65,            0,           59,"TRIU9682579",            0,
          66,            0,           60,"SMLU8303320",            0,
          67,            0,           61,"SMLU7819857",            0,
          68,            0,           62,"SMLU7815492",            0,
          69,            0,           63,"TRLU5897362",            0,
          70,            0,           64,"SMLU783",            0,
          71,            0,           65,"SMLU7831908",            0,
          72,            0,           66,"TRLU589",            0,
          73,            0,           67,"TRLU",            0,
          74,            0,           68,"TRLU5897362",            0,
          75,            0,           69,"SMLU7823461",            0,
          76,            0,           70,"ZIM2538191",            0,
          77,            0,           71,"ZIMU2538191",            0,
          78,            0,           72,"GLDU0533968",            0,
          79,            0,           73,"SMLU783075",            0,
          80,            0,           74,"SMLU7830753",            0,
          81,            0,           75,"SMLU784",            0,
          82,            0,           76,"SMLU7847930",            0,
          83,            0,           77,"CAXU9752609",            0,
          84,            0,           78,"SMLU7851925",            0,
          85,            0,           79,"XXXX8050899",            0,
          86,            0,           80,"MBJY1144",            0,
          87,            0,           81,"TTNU9365883",            0,
          88,            0,           82,"GESU4673914",            0,
          89,            0,           83,"ZCSU8562473",            0,
          90,            0,           84,"SMLU7835312",            0,
          91,            0,           85,"ZCSU8747522",            0,
          92,            0,           86,"SMLU7844021",            0,
          93,            0,           87,"ZCSU8578464",            0,
          94,            0,           88,"ZCSU8308350",            0,
          95,            0,           89,"SMLU7834825",            0,
          96,            0,           90,"AMFU8561280",            0,
          97,            0,           91,"SMLU7852222",            0,
          98,            0,           92,"ZCSU8481920",            0,
          99,            0,           93,"SMLU7821880",            0,
         100,            0,           94,"TGHU8808585",            0,
         101,            0,           95,"SMLU7815018",            0,
         102,            0,           96,"SCZU5650490",            0,
         103,            0,           97,"M8AU0515",            0,
         104,            0,           98,"SMLU7814372",            0,
         105,            0,           99,"TTNU9119010",            0,
         106,            0,          100,"SMLU7823311",            0,
         107,            0,          101,"SMLU7834297",            0,
         108,            0,          102,"SMLU7823311",            0,
         109,            0,          104,"SMLU7815342",            0,
         110,            0,          105,"TGHU7949434",            0,
         111,            0,          103,"SMLU",            0,
         112,            0,          106,"SMLU7826922",            0,
         113,            0,          108,"SMLU7840200",            0,
         114,            0,          107,"SMLU7807265",            0,
         115,            0,          110,"TRIU9849814",            0,
         116,            0,          111,"TRIU9849814",            0,
         117,            0,          112,"TRIU9849814",            0,
         118,            0,          113,"ZIMU2544023",            0,
         119,            0,          114,"CLHU8032454",            0,
         120,            0,          115,"SMLU7854673",            0,
         121,            0,          116,"SMLU8307921",            0,
         122,            0,          117,"AMFU8569635",            0,
         123,            0,          118,"SMLU8313117",            0,
         124,            0,          119,"ZCSU8617853",            0,
         125,            0,          120,"ZCSU8995386",            0,
         126,            0,          121,"SMLU7849086",            0,
         127,            0,          122,"ZCSU8873686",            0,
         128,            0,          123,"SMLU7823076",            0,
         129,            0,          124,"SMLU7835462",            0,
         130,            0,          125,"TTNU9309703",            0,
         131,            0,          126,"TTNU9757992",            0,
         132,            0,          127,"TRIU9357270",            0,
         133,            0,          128,"SMLU7804461",            0,
         134,            0,          129,"SCZU4567065",            0,
         135,            0,          130,"TEXU5482795",            0,
         136,            0,          131,"TEXU5534097",            0,
         137,            0,          132,"CLHU8314442",            0,
         138,            0,          133,"TRIU9058942",            0,
         139,            0,          134,"SMLU7820375",            0,
         140,            0,          135,"SMLU7815105",            0,
         141,            0,          136,"CLHU8313385",            0,
         142,            0,          137,"SMLU7835800",            0,
         143,            0,          138,"TRLU5701926",            0,
         144,            0,          139,"SMLU7851817",            0,
