"Rec No","Cmdtyid","Cmdtyprincipal","Cmdtycode","Cmdtydescription"
2,1,1,"KW        ","Kitchen Ware                            "
3,2,0,"SP        ","SPICES                                  "
4,3,0,"PNT       ","PAINT                                   "
5,4,0,"PL        ","PLY                                     "
6,5,0,"FC        ","Food & Clothing                         "
7,6,0,"F         ","Food                                    "
10,7,0,"LAD       ","Ladder                                  "
11,8,0,"C         ","Clothing                                "
12,9,0,"CP        ","Computer Parts                          "
13,10,0,"G         ","Generator                               "
14,11,0,"COU       ","Couch                                   "
15,12,0,"RE        ","Refridgerator                           "
16,13,0,"STR       ","Stroller                                "
17,14,0,"BABE      ","Baby Items                              "
18,15,0,"W         ","Washer                                  "
19,16,0,"BK        ","Book                                    "
20,17,0,"PC        ","Computer                                "
21,18,0,"PW        ","Power Wash                              "
22,19,0,"PR        ","Printer                                 "
23,20,0,"M         ","Mattress                                "
24,21,0,"D         ","Diapers                                 "
25,22,0,"ST        ","Stove                                   "
27,24,0,"P         ","PAMPERS                                 "
28,25,0,"T         ","Television                              "
29,26,0,"APP       ","Appliances                              "
30,27,0,"CH        ","Chairs                                  "
31,28,0,"MB        ","Motor Bike                              "
32,29,0,"BIC       ","Bicycle                                 "
34,30,0,"FN        ","FURNITURE                               "
36,31,0,"KID TBL   ","Kid Table & Chairs Set                  "
37,32,0,"WHL       ","Wheel Chair                             "
38,33,0,"MIRR      ","Mirror                                  "
40,34,0,"USC       ","USED CLOTHING                           "
44,35,0,"PLC       ","Plastic Container                       "
45,36,0,"TY        ","Tyres                                   "
46,37,0,"FI        ","Food & Linen                            "
47,38,0,"TL        ","Toiletries                              "
48,39,0,"HSP       ","Hospital Items                          "
49,40,0,"TYS       ","TOYS                                    "
50,41,0,"AP        ","Auto Parts                              "
51,42,0,"MSC       ","MUSICAL INSTRUMENTS                     "
52,43,0,"WD        ","Weed Wacker                             "
53,44,0,"SH        ","Shoes                                   "
54,45,0,"SCH       ","School supplies                         "
55,46,0,"TLS       ","Tiles                                   "
56,47,0,"FUC       ","Food & Used Clothing                    "
60,48,0,"FT        ","Food & Toiletries                       "
61,49,0,"FA        ","FRAMES                                  "
62,50,0,"PF        ","PICTURE FRAMES                          "
63,51,0,"MI        ","MICROWAVE                               "
64,52,0,"CLT       ","Clothing & Toiletries                   "
