"Rec No","Transid","Translinkid","Transextcode","Transintid","Transcodetype"
2,1,1,"1001           ",6,"PORT           "
3,2,1,"0008           ",9,"PORT           "
4,3,1,"0008           ",1,"PORT           "
5,4,1,"BBL            ",1,"PACKAGE        "
6,5,1,"PCS            ",11,"PACKAGE        "
7,6,1,"BOX            ",13,"PACKAGE        "
8,7,1,"SI             ",10,"PACKAGE        "
9,8,0,"               ",0,"               "
10,9,1,"CRT            ",4,"PACKAGE        "
11,10,1,"PK             ",17,"PACKAGE        "
12,11,1,"PKG            ",12,"PACKAGE        "
13,12,1,"PKG            ",33,"PACKAGE        "
14,13,1,"PKG            ",35,"PACKAGE        "
17,16,0,"               ",0,"               "
18,17,0,"               ",0,"               "
19,18,0,"               ",0,"               "
20,19,0,"               ",0,"               "
23,22,1,"PKG            ",28,"PACKAGE        "
24,23,1,"               ",28,"PACKAGE        "
25,24,1,"1008           ",28,"PACKAGE        "
26,25,1,"PC             ",28,"PACKAGE        "
27,26,1,"PACK           ",28,"PACKAGE        "
28,27,1,"PACK           ",28,"PACKAGE        "
29,28,1,"               ",28,"PACKAGE        "
30,29,1,"PACK           ",28,"PACKAGE        "
31,30,1,"PACK           ",28,"PACKAGE        "
32,31,1,"PACK           ",28,"PACKAGE        "
33,32,1,"PACK           ",28,"PACKAGE        "
34,33,1,"PACK           ",28,"PACKAGE        "
35,34,1,"BI             ",36,"PACKAGE        "
36,35,1,"               ",36,"PACKAGE        "
37,36,1,"               ",36,"PACKAGE        "
38,37,1,"               ",36,"PACKAGE        "
39,38,1,"               ",18,"PACKAGE        "
40,39,1,"               ",18,"PACKAGE        "
41,40,1,"               ",36,"PACKAGE        "
42,41,1,"               ",36,"PACKAGE        "
43,42,1,"               ",18,"PACKAGE        "
44,43,1,"               ",18,"PACKAGE        "
45,44,1,"               ",36,"PACKAGE        "
46,45,1,"               ",36,"PACKAGE        "
47,46,1,"               ",36,"PACKAGE        "
48,47,1,"               ",36,"PACKAGE        "
49,48,1,"               ",18,"PACKAGE        "
50,49,1,"               ",18,"PACKAGE        "
51,50,1,"               ",30,"PACKAGE        "
52,51,1,"               ",30,"PACKAGE        "
53,52,1,"               ",18,"PACKAGE        "
54,53,1,"               ",18,"PACKAGE        "
55,54,1,"               ",30,"PACKAGE        "
56,55,1,"               ",30,"PACKAGE        "
57,56,1,"               ",36,"PACKAGE        "
58,57,1,"               ",36,"PACKAGE        "
59,58,1,"               ",36,"PACKAGE        "
60,59,1,"               ",36,"PACKAGE        "
61,60,1,"               ",36,"PACKAGE        "
62,61,1,"               ",36,"PACKAGE        "
63,62,1,"               ",18,"PACKAGE        "
64,63,1,"               ",18,"PACKAGE        "
65,64,1,"               ",30,"PACKAGE        "
66,65,1,"               ",30,"PACKAGE        "
67,66,1,"               ",36,"PACKAGE        "
68,67,1,"               ",36,"PACKAGE        "
69,68,1,"               ",18,"PACKAGE        "
70,69,1,"               ",18,"PACKAGE        "
71,70,1,"               ",30,"PACKAGE        "
72,71,1,"               ",30,"PACKAGE        "
73,72,1,"               ",36,"PACKAGE        "
74,73,1,"               ",36,"PACKAGE        "
75,74,1,"               ",36,"PACKAGE        "
76,75,1,"               ",36,"PACKAGE        "
