"Rec No","Portid","Portprincipal","Portcode","Portname","Portcountry","Portiata"
2,1,0,"JMKIN     ","Kingston                 ",0,"          "
3,2,0,"B7        ","Berth 7                  ",0,"          "
4,3,0,"MIA       ","MIAMI                    ",0,"          "
5,4,0,"KW        ","Kingston Wharves         ",0,"          "
6,5,0,"NJ        ","New Jersey               ",0,"          "
7,6,0,"USNYC     ","NEW YORK                 ",0,"          "
9,7,0,"          ","Berth 6                  ",0,"          "
10,8,0,"          ","BERTH 6                  ",0,"          "
11,9,0,"BR6       ","BERTH 6                  ",0,"          "
12,10,0,"B5        ","BERTH 5                  ",0,"          "
15,11,0,"ADLPH L   ","ADOLPH LEVY              ",0,"          "
17,13,0,"          ","                         ",0,"          "
20,14,0,"USPEF     ","PORT EVERGLADES          ",0,"          "
22,15,0,"KWTLF     ","TOTAL LOGISTICS FACILITY ",0,"          "
