"Rec No","Id","Date","Time","Comments"
2,1,75856,2352635,"TDCC 309 B/L Export - Customs                                                   "
3,2,75856,3057801,"TDCC 309 B/L Export - Customs                                                   "
4,3,75856,3105147,"TDCC 309 B/L Export - Customs                                                   "
5,4,75856,3269729,"TDCC 309 B/L Export - Customs                                                   "
6,5,75920,2430336,"TDCC 309 B/L Export - Customs                                                   "
7,6,75920,3739626,"TDCC 309 B/L Export - Customs                                                   "
8,7,75920,3801796,"TDCC 309 B/L Export - Customs                                                   "
9,8,75920,3928193,"TDCC 309 B/L Export - Customs                                                   "
10,9,75920,4020986,"TDCC 309 B/L Export - Customs                                                   "
11,10,75920,4030238,"TDCC 309 B/L Export - Customs                                                   "
12,11,75924,4547469,"TDCC 309 B/L Export - Customs                                                   "
13,12,75924,4565913,"TDCC 309 B/L Export - Customs                                                   "
14,13,75925,3312051,"TDCC 309 B/L Export - Customs                                                   "
15,14,75925,3337962,"TDCC 309 B/L Export - Customs                                                   "
16,15,75925,3426596,"TDCC 309 B/L Export - Customs                                                   "
17,16,75926,3471476,"TDCC 309 B/L Export - Customs                                                   "
18,17,76025,3036816,"TDCC 309 B/L Export - Customs                                                   "
19,18,77281,5019451,"TDCC 309 B/L Export - Customs                                                   "
