"Rec No","Chrgitmid","Chrgitmcode","Chrgitmname","Chrgitmbasis","Chrgitmbasis1","Chrgitmbasis2","Chrgitmotherbasis1","Chrgitmotherbasis2","Chrgitmoperator","Chrgitmrate","Chrgitmchargeprofile","Chrgitmchargeprofileselect","Chrgitmprofileusage","Chrgitmrateprofile","Chrgitmrateprofileselect","Chrgitmperfactor","Chrgitmperperiod","Chrgitmdivisor","Chrgitmdivisor1","Chrgitmdivisor2","Chrgitmround","Chrgitmround1","Chrgitmround2","Chrgitmbasisunit","Chrgitmbasis1unit","Chrgitmbasis2unit","Chrgitmfixedamt","Chrgitmminimumvalue","Chrgitmmaximumvalue","Chrgitmignorecurrency","Chrgitmcurrency","Chrgitmdebitglaccountid","Chrgitmcreditglaccountid","Chrgitmimportprepaidflag","Chrgitmexportprepaidflag","Chrnitmimportfcllclflag","Commodity","Package","Individual"
2,1,"WHARF     ","Wharfage                                ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
3,2,"CHARGE2   ","CHARGE 2                                ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,2,0,0,"          ","          ","          ",0,0,0
4,3,"GP        ","WHARFAGE, STRIPPING & PDC               ","Fixed               ","                    ","                    ",0,0,"Non",1358.75,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
5,4,"C78       ","C78 X                                   ","Fixed               ","                    ","                    ",0,0,"Non",100.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
6,5,"FC        ","FREIGHT COLLECT                         ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,2,0,0,"          ","          ","          ",0,0,0
13,6,"VAL       ","VALIDATION                              ","Fixed               ","                    ","                    ",0,0,"Non",1340.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
15,7,"CLR       ","CLEARANCE                               ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
16,8,"TRK       ","TRUCKING                                ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
17,9,"HAN       ","HANDLING                                ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
18,10,"CD        ","CUSTOM DUTY                             ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
19,11,"AMD       ","AMENDMENT                               ","Fixed               ","                    ","                    ",0,0,"Non",200.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
20,12,"LIF       ","LIFTING                                 ","Fixed               ","                    ","                    ",0,0,"Non",200.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
22,13,"BRK       ","BROKERAGE                               ","Fixed               ","                    ","                    ",0,0,"Non",0.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
23,14,"C86       ","C86                                     ","Fixed               ","                    ","                    ",0,0,"Non",50.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
25,15,"DOC       ","DOCUMENTS                               ","Fixed               ","                    ","                    ",0,0,"Non",158.75,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
26,16,"AF        ","Agency Fee                              ","Fixed               ","                    ","                    ",0,0,"Non",250.0,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
27,17,"GCT       ","GCT                                     ","Fixed               ","                    ","                    ",0,0,"Non",41.25,0,"                    ","                    ",0,"                    ",1,"None ","0.0000","0.0000","0.0000","    ","None","    ","          ","          ","          ",0.0,"0.00","0.00",0,1,0,0,"          ","          ","          ",0,0,0
