"Rec No","Cmdtyid","Cmdtyprincipal","Cmdtycode","Cmdtydescription"
2,1,0,"PE        ","FOOD & CLOTHES                          "
3,2,0,"HI        ","Household Items                         "
4,3,0,"SI        ","School Items                            "
5,4,0,"FI        ","FURNITURE                               "
6,5,0,"BI        ","Baby Items                              "
7,6,0,"FF        ","FABRIC & FOAM                           "
8,7,0,"V         ","VEHICLE                                 "
9,8,0,"MB        ","Motor Bike                              "
10,9,0,"C         ","CLOTHES                                 "
11,10,0,"UC        ","USED CLOTHES                            "
12,11,0,"F         ","FOOD                                    "
13,12,0,"T         ","TOOL                                    "
14,13,0,"CR        ","CAR                                     "
