"Rec No","Recdtlreceipt","Recdtlvgepointer","Recdtlbol","Recdtlbooking","Recdtlcontainer","Recdtlinvoice","Recdtllevel","Recdtlitemcode","Recdtlamount","Discountamount","Recdtldescription"
       64491,        21554,         4017,        27526,            0,,            0,  0,            3,    3108.75,       0.00,"WHARFAGE, STRIPPING & PDC"
       64492,        21554,         4017,        27526,            0,,            0,  0,           15,     100.00,       0.00,"DOCUMENTS"
       64493,        21554,         4017,        27526,            0,,            0,  0,           42,     291.25,       0.00,"SECURITY"
       64494,        21555,         4029,        27613,            0,,            0,  0,            3,    3108.75,       0.00,"WHARFAGE, STRIPPING & PDC"
       64495,        21555,         4029,        27613,            0,,            0,  0,           15,     100.00,       0.00,"DOCUMENTS"
       64496,        21555,         4029,        27613,            0,,            0,  0,           42,     291.25,       0.00,"SECURITY"
       64497,        21556,         4029,        27600,            0,,            0,  0,            3,    3108.75,       0.00,"WHARFAGE, STRIPPING & PDC"
       64498,        21556,         4029,        27600,            0,,            0,  0,           15,     100.00,       0.00,"DOCUMENTS"
       64499,        21556,         4029,        27600,            0,,            0,  0,           42,     291.25,       0.00,"SECURITY"
       64500,        21557,         4029,        27609,            0,,            0,  0,            3,    3108.75,       0.00,"WHARFAGE, STRIPPING & PDC"
       64501,        21557,         4029,        27609,            0,,            0,  0,           15,     100.00,       0.00,"DOCUMENTS"
       64502,        21557,         4029,        27609,            0,,            0,  0,           42,     291.25,       0.00,"SECURITY"
       64503,        21558,         4029,        27596,            0,,            0,  0,            3,    3108.75,       0.00,"WHARFAGE, STRIPPING & PDC"
       64504,        21558,         4029,        27596,            0,,            0,  0,           15,     100.00,       0.00,"DOCUMENTS"
       64505,        21558,         4029,        27596,            0,,            0,  0,           42,     291.25,       0.00,"SECURITY"
       64506,        21559,         4017,        27534,            0,,            0,  0,            3,    9908.75,       0.00,"WHARFAGE, STRIPPING & PDC"
       64507,        21559,         4017,        27534,            0,,            0,  0,           15,     100.00,       0.00,"DOCUMENTS"
       64508,        21559,         4017,        27534,            0,,            0,  0,           42,     291.25,       0.00,"SECURITY"
       64509,        21560,         4004,        27369,            0,,            0,  0,            3,    3408.75,       0.00,"WHARFAGE, STRIPPING & PDC"
       64510,        21560,         4004,        27369,            0,,            0,  0,           15,     100.00,       0.00,"DOCUMENTS"
       64511,        21560,         4004,        27369,            0,,            0,  0,           42,     291.25,       0.00,"SECURITY"
       64512,        21561,         4007,        27320,            0,,            0,  0,            3,    9908.75,       0.00,"WHARFAGE, STRIPPING & PDC"
       64513,        21561,         4007,        27320,            0,,            0,  0,           15,     100.00,       0.00,"DOCUMENTS"
       64514,        21561,         4007,        27320,            0,,            0,  0,           42,     291.25,       0.00,"SECURITY"
       64515,        21562,         4033,        27685,            0,,            0,  0,            3,    2708.75,       0.00,"WHARFAGE, STRIPPING & PDC"
       64516,        21562,         4033,        27685,            0,,            0,  0,           15,     100.00,       0.00,"DOCUMENTS"
       64517,        21562,         4033,        27685,            0,,            0,  0,           42,     291.25,       0.00,"SECURITY"
