"Rec No","Shrptvgeptr","Shrptvessel","Shrptada","Shrptvoynoarr","Shrptlastport","Shrptoriginport","Shrptnextport","Shrptstodate","Stripped","Strippeddate"
320,244,37,76286,"TT2                 ",0,0,0,0,1,0
798,588,119,76746,"485                 ",0,0,0,0,0,0
841,629,37,76825,"09                  ",0,0,0,0,1,0
955,730,119,76915,"00                  ",0,0,0,0,0,0
986,753,119,76986,"00                  ",0,0,0,0,0,0
1046,805,130,77008,"5935                ",0,0,0,0,0,0
1050,807,132,77012,"595S                ",0,0,0,0,1,0
1086,839,130,77033,"2                   ",0,0,0,0,1,0
1155,897,132,77057,"607                 ",0,0,0,0,1,0
1210,949,132,77119,"625                 ",0,0,0,0,1,0
1225,963,109,77148,"231                 ",0,0,0,0,1,0
1233,971,139,77153,"00                  ",0,0,0,0,1,0
1240,978,139,77153,"E                   ",0,0,0,0,1,0
1253,991,109,77176,"723                 ",0,0,0,0,1,0
1258,996,141,77174,"00                  ",0,0,0,0,1,0
1270,1006,142,77190,"11                  ",0,0,0,0,1,0
1274,1009,143,77194,"E                   ",0,0,0,0,0,0
1278,1013,146,77208,"00                  ",0,0,0,0,1,77225
1289,1023,142,77204,"346                 ",0,0,0,0,1,0
1297,1031,22,77217,"36w                 ",0,0,0,0,1,0
1308,1042,109,77225,"sea                 ",0,0,0,0,1,0
1315,1049,109,77232,"00                  ",0,0,0,0,1,0
1346,1076,141,77258,"0                   ",0,0,0,0,1,0
1366,1095,151,77272,"00                  ",0,0,0,0,1,0
1373,1101,66,77277,"103                 ",0,0,0,0,1,0
1375,1102,22,77288,"00                  ",0,0,0,0,1,0
1379,1106,139,77237,"00                  ",0,0,0,0,1,0
1380,1107,22,77287,"00                  ",0,0,0,0,1,0
1383,1110,139,77279,"00                  ",0,0,0,0,1,0
1404,1127,128,77281,"127                 ",0,0,0,0,1,77289
1414,1136,66,77318,"106S                ",0,0,0,0,1,0
1422,1141,44,77324,"00                  ",0,0,0,0,0,0
1427,1146,29,77399,"34W                 ",0,0,0,0,1,0
1432,1151,48,77337,"143                 ",0,0,0,0,1,0
