"Rec No","Voyconid","Voyconvgeptr","Voyconcontainer","Voyconportorigin"
2,0,1601,"SMLU3563742    ",0
3,0,1631,"SMLU7864558    ",0
4,0,1632,"SMLU7864558    ",0
5,0,1597,"SEFU4505228    ",0
6,0,1633,"SEFU4504896    ",0
7,0,1634,"SEFU4504113    ",0
8,0,1635,"CGMU9295461    ",0
10,0,1625,"CGMU9295461    ",0
11,0,1636,"CGMU502275     ",0
12,0,1637,"SZLU9026307    ",0
13,0,1629,"SEFU4504896    ",0
14,0,1612,"SZLU9026307    ",0
15,0,1622,"SEFU4504073    ",0
16,0,1623,"CMAU4120354    ",0
17,0,1638,"GLDU0860683    ",0
18,0,1618,"SMLU7837594    ",0
19,0,1639,"GLDU0860683    ",0
20,0,1640,"SEFU4500397    ",0
21,0,1641,"SEFU4500397    ",0
22,0,1642,"ECMU9436266    ",0
23,0,1643,"SMLU7860948    ",0
24,0,1644,"CGMU4835356    ",0
25,0,1645,"TTNU1927623    ",0
26,0,1646,"FSCU6330185    ",0
27,0,1647,"TGHU6418119    ",0
28,0,1648,"SEFU4503797    ",0
29,0,1515,"SMLU7849511    ",0
30,0,1649,"SMLU7860681    ",0
31,0,1650,"FCIU8874390    ",0
32,0,1651,"ZCSU8706035    ",0
33,0,1652,"GESU5961263    ",0
34,0,1653,"SMLU7837594    ",0
35,0,1654,"DVRU1553981    ",0
36,0,1655,"ECMU9097115    ",0
37,0,1656,"SMLU7864555    ",0
38,0,1657,"SEFU4501460    ",0
39,0,1658,"SEFU4501460    ",0
40,0,1659,"TGHU6179312    ",0
41,0,1660,"SMLU7865934    ",0
42,0,1661,"SEFU4504324    ",0
43,0,1662,"AMFU8524332    ",0
44,0,1663,"CGMU5034900    ",0
45,0,1664,"SZLU9027279    ",0
46,0,1665,"TRLU1663432    ",0
47,0,1666,"FSCU9333228    ",0
48,0,1667,"SEFU4505969    ",0
49,0,1668,"TRLU7249538    ",0
50,0,1669,"SEFU4505022    ",0
51,0,1670,"TGHU9915227    ",0
52,0,1671,"TCNU9083866    ",0
53,0,1672,"FSCU6117415    ",0
54,0,1673,"SEFU4505022    ",0
55,0,1674,"SEFU4505022    ",0
56,0,1675,"SMLU7835436    ",0
57,0,1676,"TCNU8947439    ",0
58,0,1677,"SMLU7822212    ",0
59,0,1678,"SEFU4501048    ",0
60,0,1679,"SEFU4204707    ",0
61,0,1680,"GLDU7032633    ",0
62,0,1681,"FSCU6808612    ",0
63,0,1682,"BMOU2033200    ",0
64,0,1683,"SEFU4504643    ",0
65,0,1684,"FCIU3322649    ",0
66,0,1685,"GESU9151620    ",0
67,0,1686,"SEFU4504643    ",0
68,0,1687,"SEFU4505228    ",0
69,0,1688,"SMLU7832458    ",0
70,0,1689,"TRLU1721565    ",0
71,0,1690,"CLHU8211819    ",0
72,0,1691,"SMLU7853532    ",0
73,0,1692,"TRIU8823311    ",0
74,0,1693,"TGHU7470744    ",0
75,0,1694,"TGHU9119050    ",0
76,0,1695,"CRSU6117623    ",0
77,0,1697,"SEFU4501120    ",0
78,0,1698,"GESU9574534    ",0
79,0,1699,"SMLU7854570    ",0
80,0,1700,"CRSU6117623    ",0
81,0,1701,"FCIU8639533    ",0
82,0,1702,"SEFU4204158    ",0
83,0,1703,"SEFU4501120    ",0
84,0,1704,"SMLU7842559    ",0
86,0,1705,"SEFU4504582    ",0
87,0,1706,"TCKU9090198    ",0
88,0,1707,"TCLU5975656    ",0
89,0,1708,"TCNU9580760    ",0
91,0,1709,"SEFU4207711    ",0
92,0,1710,"SMLU7873307    ",0
93,0,1711,"FCIU8045450    ",0
94,0,1712,"CMAU5191985    ",0
95,0,1713,"SEFU4200846    ",0
96,0,1714,"SEFU4501855    ",0
97,0,1715,"SEFU4205302    ",0
98,0,1716,"TGHU858920     ",0
99,0,1717,"SEFU4502466    ",0
100,0,1718,"SEFU4502466    ",0
101,0,1719,"ZCSU8578103    ",0
102,0,1720,"TRIU8731766    ",0
103,0,1721,"FCIU9044680    ",0
104,0,1722,"SMLU7877909    ",0
105,0,1723,"TCKU9083882    ",0
106,0,1724,"SEFU4209231    ",0
107,0,1725,"SEFU4505151    ",0
108,0,1726,"FSCU6592740    ",0
109,0,1727,"UESU5014643    ",0
110,0,1728,"AMCU9201837    ",0
111,0,1729,"CAXU9389089    ",0
112,0,1730,"GLDU0777809    ",0
113,0,1731,"SEFU4205302    ",0
115,0,1732,"SEFU4202480    ",0
116,0,1733,"SMLU7877909    ",0
118,0,1735,"GESU6327309    ",0
119,0,1736,"SEFU4215635    ",0
120,0,1737,"SEFU4505721    ",0
121,0,1738,"TCNU9062082    ",0
122,0,1739,"SMLU7872506    ",0
123,0,1740,"TCNU9162836    ",0
124,0,1741,"SMLU7868390    ",0
126,0,1743,"BSIU9171059    ",0
127,0,1744,"GESU4508587    ",0
128,0,1745,"GESU4212281    ",0
129,0,1746,"CHIU9017715    ",0
130,0,1747,"BMOU4605049    ",0
131,0,1748,"AMFU8946847    ",0
132,0,1749,"ZCSU8445610    ",0
133,0,1750,"SEFU4505402    ",0
134,0,1751,"SEFU4505402    ",0
135,0,1752,"CAXU9371855    ",0
136,0,1753,"HLXU6335560    ",0
137,0,1754,"TCNU926590     ",0
138,0,1755,"SEFU4502234    ",0
139,0,1756,"FSCU7001374    ",0
140,0,1757,"TCLU5683171    ",0
141,0,1758,"SEFU4209165    ",0
142,0,1759,"SMLU7848855    ",0
143,0,1760,"SEFU4209165    ",0
144,0,1761,"SMLU7856892    ",0
145,0,1762,"TCNU6045224    ",0
146,0,1763,"SMLU7820605    ",0
147,0,1764,"TGHU8872753    ",0
148,0,1765,"CRSU6111440    ",0
149,0,1766,"ZCSU8585268    ",0
150,0,1767,"ZCSU8585268    ",0
151,0,1768,"SEFU4502260    ",0
152,0,1769,"CLHU8311124    ",0
153,0,1770,"FSCU9808787    ",0
154,0,1771,"ZCSU8362963    ",0
155,0,1772,"SEFU4504833    ",0
156,0,1773,"SEFU4502260    ",0
157,0,1774,"SEFU4200661    ",0
158,0,1775,"SEFU4500381    ",0
159,0,1776,"TRLU5620090    ",0
160,0,1777,"TCNU9548407    ",0
161,0,1778,"TRLU7170834    ",0
162,0,1779,"SEFU4505043    ",0
163,0,1780,"FCIU9354279    ",0
164,0,1781,"SMLU7864687    ",0
165,0,1782,"SEFU4203608    ",0
166,0,1783,"CAIU8548815    ",0
167,0,1784,"SMLU7853620    ",0
168,0,1785,"SMLU7823800    ",0
169,0,1786,"SEFU4505043    ",0
170,0,1787,"SEFU4505043    ",0
171,0,1788,"CMAU4024664    ",0
172,0,1789,"SMLU7816930    ",0
173,0,1790,"ZCSU8573821    ",0
174,0,1791,"SMLU7869415    ",0
175,0,1792,"SEFU4502867    ",0
176,0,1793,"SEFU4502867    ",0
177,0,1794,"TGHU3935247    ",0
178,0,1795,"AMFU8932627    ",0
179,0,1796,"AMFU8550310    ",0
180,0,1797,"TGHU8479978    ",0
181,0,1798,"TGHU8479978    ",0
182,0,1799,"TCNU9516293    ",0
183,0,1800,"TCNU8116625    ",0
184,0,1801,"BSIU9106726    ",0
185,0,1802,"ECMU9580463    ",0
186,0,1803,"SEFU4503098    ",0
187,0,1804,"SEFU4503098    ",0
188,0,1805,"SMLU7864753    ",0
189,0,1806,"SMLU7837207    ",0
190,0,1807,"GLDU7465232    ",0
191,0,1808,"SMLU7878320    ",0
192,0,1809,"SMLU7878320    ",0
193,0,1810,"CGMU4972620    ",0
194,0,1811,"ZCSU8468174    ",0
195,0,1812,"CGMU5012223    ",0
196,0,1813,"SEFU4504833    ",0
197,0,1814,"CLHU8456874    ",0
198,0,1816,"INKU2854037    ",0
199,0,1817,"FCIU8529048    ",0
200,0,1818,"SMLU7819203    ",0
201,0,1819,"CLHU8456874    ",0
202,0,1820,"SEFU4505022    ",0
205,0,1822,"TCLU6537741    ",0
206,0,1823,"ZCSU8890425    ",0
207,0,1824,"TGHU3935247    ",0
209,0,1826,"EASU9701448    ",0
212,0,1828,"TRLU6747135    ",0
213,0,1829,"SEFU4500864    ",0
214,0,1830,"SEFU4505022    ",0
215,0,1831,"SMLU7861965    ",0
216,0,1832,"GESU4816960    ",0
217,0,1827,"trgfh          ",0
218,0,1825,"ZCSU8533860    ",0
219,0,1821,"SEFU4500864    ",0
220,0,1833,"ZSU8891294     ",0
221,0,1834,"TCKU9669066    ",0
222,0,1835,"SMLU7876121    ",0
223,0,1836,"SEFU4503122    ",0
224,0,1837,"SMLU7856172    ",0
225,0,1838,"SEFU4503122    ",0
226,0,1839,"SEFU4508122    ",0
227,0,1840,"NEWBURGH       ",0
228,0,1841,"GESU6414379    ",0
229,0,1842,"SMLU7822568    ",0
230,0,1843,"NEW NEW        ",0
231,0,1844,"SEFU4503122    ",0
232,0,1845,"SEFU4503755    ",0
233,0,1846,"FSCU6584261    ",0
234,0,1847,"GESU6756957    ",0
235,0,1848,"TEMU6766344    ",0
236,0,1849,"SEFU4503755    ",0
237,0,1850,"CRLU1310188    ",0
238,0,1851,"CGMU5012223    ",0
239,0,1852,"FSCU6584261    ",0
240,0,1853,"SEFU4209550    ",0
241,0,1854,"CLHU8855581    ",0
242,0,1855,"PRSU2165605    ",0
243,0,1856,"TCNU9583141    ",0
244,0,1857,"SEFU4213102    ",0
245,0,1858,"TCNU9929949    ",0
246,0,1859,"SMLU7852916    ",0
247,0,1860,"SMLU7887960    ",0
248,0,1861,"FSCU6402834    ",0
249,0,1862,"SEFU4502511    ",0
250,0,1863,"SEFU4502511    ",0
251,0,1864,"INKU2854037    ",0
252,0,1865,"SMLU7868830    ",0
253,0,1866,"SMLU7858067    ",0
255,0,1868,"SMLU7876667    ",0
256,0,1869,"GLDU7618178    ",0
257,0,1870,"SEFU           ",0
258,0,1871,"ZCSU8885049    ",0
259,0,1872,"SMLU783009     ",0
260,0,1873,"GESU4912860    ",0
261,0,1874,"SMLU7830090    ",0
262,0,1875,"SMLU7830090    ",0
263,0,1876,"GESU4912860    ",0
264,0,1877,"SMLU7851000    ",0
265,0,1878,"FCIU8231238    ",0
266,0,1879,"UESU5219812    ",0
267,0,1880,"SEFU4210973    ",0
268,0,1881,"TCLU7223283    ",0
269,0,1882,"CAIU8469763    ",0
270,0,1883,"SEFU4210973    ",0
271,0,1884,"SEFU4210973    ",0
272,0,1885,"CRLU1365658    ",0
273,0,1886,"SMLU7842184    ",0
274,0,1887,"GVCU5034994    ",0
276,0,1889,"TEMU3303393    ",0
277,0,1890,"TEMU3303393    ",0
278,0,1891,"CRXU1351807    ",0
279,0,1892,"CMAU5890112    ",0
280,0,1893,"SMLU7822017    ",0
281,0,1894,"CAIU8153158    ",0
282,0,1895,"SEFU4502872    ",0
283,0,1896,"FSCU9050850    ",0
284,0,1897,"SMLU7873499    ",0
285,0,1898,"SMLU7820204    ",0
286,0,1899,"JXLU8653070    ",0
287,0,1900,"SEFU4505383    ",0
288,0,1901,"CAIU8483611    ",0
289,0,1902,"SEFU4504432    ",0
290,0,1903,"DFSU6470772    ",0
291,0,1904,"SEFU4502872    ",0
292,0,1905,"BSIU9062510    ",0
293,0,1906,"SEFU4502872    ",0
294,0,1907,"SMLU7851421    ",0
295,0,1908,"ZCSU8959579    ",0
296,0,1909,"FSCU9912410    ",0
297,0,1910,"DFSU6470772    ",0
298,0,1911,"CRXU9715467    ",0
299,0,1912,"GLDU7420916    ",0
300,0,1913,"TGHU947979     ",0
301,0,1914,"ECMU9732627    ",0
302,0,1915,"SMLU7848599    ",0
303,0,1916,"CMAU2100533    ",0
304,0,1917,"SMLU7870972    ",0
306,0,1919,"SMLU7851421    ",0
307,0,1920,"SMLU7876800    ",0
308,0,1921,"CLHU8846240    ",0
309,0,1922,"SMLU7864394    ",0
310,0,1923,"CLHU8846240    ",0
311,0,1924,"SEFU4214393    ",0
312,0,1925,"ZCSU8990471    ",0
313,0,1926,"SEFU4505280    ",0
314,0,1927,"ECMU9398802    ",0
316,0,1928,"ZCSU8990471    ",0
317,0,1929,"SMLU7829074    ",0
318,0,1918,"INKU2544350    ",0
319,0,1930,"FCIU4458326    ",0
320,0,1931,"CLHU8864990    ",0
321,0,1932,"TRLU7250550    ",0
322,0,1933,"SMLU7835333    ",0
323,0,1934,"GESU4995382    ",0
324,0,1935,"TCKU9655674    ",0
325,0,1936,"TCKU9661403    ",0
326,0,1937,"GESU5931274    ",0
327,0,1938,"SEFU4505228    ",0
328,0,1939,"UESU4745031    ",0
329,0,1940,"TCKU9013308    ",0
330,0,1941,"TRLU1624605    ",0
331,0,1942,"GLDU0709635    ",0
332,0,1943,"FCIU8463721    ",0
333,0,1944,"TGHU6049957    ",0
334,0,1945,"SEGU4014608    ",0
335,0,1946,"SMLU7843200    ",0
337,0,1948,"TCNU8018737    ",0
338,0,1949,"TGHU8430279    ",0
339,0,1950,"ZCSU2646535    ",0
340,0,1951,"BCIU9365761    ",0
341,0,1952,"NEWBURG        ",0
342,0,1953,"ZCSU8909844    ",0
343,0,1954,"FEST           ",0
344,0,1955,"CONTIN         ",0
345,0,1956,"GESU6901660    ",0
346,0,1957,"BHCU4973401    ",0
347,0,1958,"FCIU8460888    ",0
348,0,1959,"FCIU9354258    ",0
349,0,1947,"TTNU9434691    ",0
350,0,1960,"SMLU7802746    ",0
351,0,1961,"CGMU4945245    ",0
352,0,1962,"SMLU7829074    ",0
353,0,1963,"GLDU7406203    ",0
354,0,1964,"AMFU8844613    ",0
355,0,1965,"TRHU1940077    ",0
356,0,1966,"GESU6466644    ",0
357,0,1967,"SMLU7853743    ",0
358,0,1968,"TCNU5002887    ",0
359,0,1969,"SMLU2572960    ",0
360,0,1970,"FCIU8208428    ",0
361,0,1971,"SMLU7858473    ",0
362,0,1972,"SEFU4501217    ",0
364,0,1973,"AMCU9289540    ",0
366,0,1974,"TGHU9261194    ",0
367,0,1975,"FSCU7303224    ",0
368,0,1976,"FSCU7303224    ",0
369,0,1977,"SMLU8326285    ",0
370,0,1978,"SMLU8326285    ",0
371,0,1979,"AMFU8932627    ",0
372,0,1980,"AMFU8932627    ",0
373,0,1981,"TGHU9261194    ",0
374,0,1982,"SMLU7869333    ",0
375,0,1983,"SMLU4350175    ",0
376,0,1984,"TEMU9252523    ",0
377,0,1985,"TGHU9262462    ",0
378,0,1986,"CRSU9090655    ",0
379,0,1987,"ZCSU8696718    ",0
380,0,1988,"SMLU7881880    ",0
381,0,1989,"CMAU5560337    ",0
382,0,1990,"SMLU7842353    ",0
383,0,1991,"FCIU8354572    ",0
384,0,1992,"SEFU4500078    ",0
385,0,1993,"FSCU6606490    ",0
386,0,1994,"TRLU7254658    ",0
387,0,1995,"CMAU5560337    ",0
388,0,1996,"TGHU8350770    ",0
389,0,1997,"TCKU9890272    ",0
390,0,1998,"AMFU8844613    ",0
391,0,1999,"GESU6757608    ",0
392,0,2000,"SMLU7867773    ",0
393,0,2001,"TCNU8094850    ",0
394,0,2002,"SMLU7828437    ",0
395,0,2003,"CRLU6221566    ",0
396,0,2004,"CRSU9326397    ",0
397,0,2005,"SAXU4907299    ",0
398,0,2006,"SMLU786901     ",0
399,0,2007,"CRLU1812329    ",0
400,0,2008,"CRLU6221556    ",0
401,0,2009,"SAXU4907299    ",0
402,0,2010,"FSCU9911624    ",0
403,0,2011,"000            ",0
404,0,2012,"SEFU4213078    ",0
405,0,2013,"TCKU3110471    ",0
406,0,2014,"SMLU5102492    ",0
407,0,2015,"GESU6911863    ",0
408,0,2016,"SAXU4907299    ",0
409,0,2017,"CLHU3842766    ",0
410,0,2018,"CMAU4628767    ",0
411,0,2019,"BSIU9163984    ",0
412,0,2020,"SMLU7837573    ",0
413,0,2021,"SMLU7837573    ",0
414,0,2022,"CGMU4981809    ",0
415,0,2023,"SEFU4208195    ",0
416,0,2024,"TCNU9902188    ",0
417,0,2025,"TGHU6415845    ",0
418,0,2026,"ECMU9650690    ",0
419,0,2027,"5 ECON         ",0
420,0,2028,"ECMU9650690    ",0
421,0,2029,"BMOU9001822    ",0
422,0,2030,"CMAU2156830    ",0
423,0,2031,"GESU5961263    ",0
424,0,2032,"SEFU4500294    ",0
425,0,2033,"SEFU4502810    ",0
426,0,2034,"CMAU5648480    ",0
427,0,2035,"GLDU9943496    ",0
428,0,2036,"TCNU9284346    ",0
429,0,2037,"SEGU4851836    ",0
431,0,2039,"SEFU4503740    ",0
432,0,2040,"FSCU3597938    ",0
433,0,2041,"SMLU7858128    ",0
434,0,2042,"SMLU7892605    ",0
435,0,2043,"AMFU8923395    ",0
436,0,2044,"XINU1266681    ",0
437,0,2045,"TCKU9099127    ",0
438,0,2046,"SEFU4502363    ",0
439,0,2047,"ECMU9447086    ",0
440,0,2048,"ECMU9744103    ",0
442,0,2049,"TRLU7056884    ",0
443,0,2050,"SEFU4502363    ",0
444,0,2051,"SEFU4502363    ",0
445,0,2052,"BMOU9001822    ",0
446,0,2053,"SEFU4503523    ",0
447,0,2054,"SMLU7830218    ",0
448,0,2055,"CAIU2256098    ",0
449,0,2056,"SMLU2556064    ",0
450,0,2057,"SMLU7889284    ",0
451,0,2058,"DESCRIT        ",0
452,0,2059,"UFF12345677    ",0
454,0,2061,"ZCSU8683623    ",0
455,0,2062,"SEFU4503689    ",0
456,0,2063,"FSCU3464560    ",0
457,0,2064,"GESU5988794    ",0
458,0,2065,"SEFU4502050    ",0
459,0,2066,"HIPP A         ",0
460,0,2067,"TAYSHAUN       ",0
461,0,2068,"TRLU1623105    ",0
462,0,2069,"CAIU8264130    ",0
463,0,2070,"CAIU8264130    ",0
464,0,2071,"SMILE 11192    ",0
465,0,2072,"SEFU4501027    ",0
466,0,2073,"TCKU3560972    ",0
467,0,2074,"SMLU7817129    ",0
468,0,2075,"SMLU7885838    ",0
469,0,2076,"SMLU7831235    ",0
470,0,2077,"SMLU7825762    ",0
471,0,2078,"GESU4994663    ",0
472,0,2079,"SMLU7861158    ",0
474,0,2080,"AMCU9268234    ",0
475,0,2081,"PJ'S           ",0
