"Rec No","Id","Date","Time","Comments"
2,1,75351,786777,"TDCC 309 B/L Export - Customs                                                   "
3,2,75351,790979,"TDCC 309 B/L Export - Customs                                                   "
4,3,75365,2405348,"TDCC 309 B/L Export - Customs                                                   "
5,4,75365,2479452,"TDCC 309 B/L Export - Customs                                                   "
6,5,75365,2602355,"TDCC 309 B/L Export - Customs                                                   "
7,6,75365,2609916,"TDCC 309 B/L Export - Customs                                                   "
8,7,75365,2713124,"TDCC 309 B/L Export - Customs                                                   "
9,8,75365,2729017,"TDCC 309 B/L Export - Customs                                                   "
10,9,75365,2749276,"TDCC 309 B/L Export - Customs                                                   "
11,10,75365,3830001,"TDCC 309 B/L Export - Customs                                                   "
12,11,75365,4550144,"TDCC 309 B/L Export - Customs                                                   "
13,12,75365,4621973,"TDCC 309 B/L Export - Customs                                                   "
14,13,75365,4647188,"TDCC 309 B/L Export - Customs                                                   "
15,14,75504,5469038,"TDCC 309 B/L Export - Customs                                                   "
16,15,75512,3956283,"TDCC 309 B/L Export - Customs                                                   "
17,16,75931,4862046,"TDCC 309 B/L Export - Customs                                                   "
18,17,75931,4890076,"TDCC 309 B/L Export - Customs                                                   "
19,18,75931,6206972,"TDCC 309 B/L Export - Customs                                                   "
20,19,75932,3555703,"TDCC 309 B/L Export - Customs                                                   "
21,20,75932,4278264,"TDCC 309 B/L Export - Customs                                                   "
22,21,75932,4317285,"TDCC 309 B/L Export - Customs                                                   "
23,22,75933,3357869,"TDCC 309 B/L Export - Customs                                                   "
24,23,75933,3411936,"TDCC 309 B/L Export - Customs                                                   "
25,24,75933,3424893,"TDCC 309 B/L Export - Customs                                                   "
26,25,75933,3435308,"TDCC 309 B/L Export - Customs                                                   "
27,26,75933,4186011,"TDCC 309 B/L Export - Customs                                                   "
28,27,75933,4747643,"TDCC 309 B/L Export - Customs                                                   "
29,28,75933,5121371,"TDCC 309 B/L Export - Customs                                                   "
30,29,75934,4802182,"TDCC 309 B/L Export - Customs                                                   "
31,30,75934,4839441,"TDCC 309 B/L Export - Customs                                                   "
32,31,75934,5304546,"TDCC 309 B/L Export - Customs                                                   "
33,32,75937,4002783,"TDCC 309 B/L Export - Customs                                                   "
34,33,75937,4015611,"TDCC 309 B/L Export - Customs                                                   "
35,34,75937,4031582,"TDCC 309 B/L Export - Customs                                                   "
36,35,75937,4344147,"TDCC 309 B/L Export - Customs                                                   "
37,36,75938,4415608,"TDCC 309 B/L Export - Customs                                                   "
38,37,75938,4466457,"TDCC 309 B/L Export - Customs                                                   "
39,38,75938,4600980,"TDCC 309 B/L Export - Customs                                                   "
40,39,75938,4612326,"TDCC 309 B/L Export - Customs                                                   "
41,40,75938,4647522,"TDCC 309 B/L Export - Customs                                                   "
42,41,75938,6062582,"TDCC 309 B/L Export - Customs                                                   "
43,42,75938,6071632,"TDCC 309 B/L Export - Customs                                                   "
44,43,75938,6092629,"TDCC 309 B/L Export - Customs                                                   "
45,44,75938,6125861,"TDCC 309 B/L Export - Customs                                                   "
46,45,75938,6140552,"TDCC 309 B/L Export - Customs                                                   "
47,46,75942,4747660,"TDCC 309 B/L Export - Customs                                                   "
48,47,75942,4757818,"TDCC 309 B/L Export - Customs                                                   "
49,48,75942,4768969,"TDCC 309 B/L Export - Customs                                                   "
50,49,75942,4813566,"TDCC 309 B/L Export - Customs                                                   "
51,50,75942,4831265,"TDCC 309 B/L Export - Customs                                                   "
52,51,75942,4862191,"TDCC 309 B/L Export - Customs                                                   "
53,52,75942,4870585,"TDCC 309 B/L Export - Customs                                                   "
54,53,75942,4929596,"TDCC 309 B/L Export - Customs                                                   "
55,54,75942,5065274,"TDCC 309 B/L Export - Customs                                                   "
56,55,75942,5081810,"TDCC 309 B/L Export - Customs                                                   "
57,56,75942,5471882,"TDCC 309 B/L Export - Customs                                                   "
58,57,75942,5596477,"TDCC 309 B/L Export - Customs                                                   "
59,58,75943,4472868,"TDCC 309 B/L Export - Customs                                                   "
60,59,75943,4482833,"TDCC 309 B/L Export - Customs                                                   "
61,60,75943,4493786,"TDCC 309 B/L Export - Customs                                                   "
62,61,75943,4520771,"TDCC 309 B/L Export - Customs                                                   "
63,62,75946,3409241,"TDCC 309 B/L Export - Customs                                                   "
64,63,75946,3447916,"TDCC 309 B/L Export - Customs                                                   "
65,64,75946,3568680,"TDCC 309 B/L Export - Customs                                                   "
66,65,75946,3663702,"TDCC 309 B/L Export - Customs                                                   "
67,66,75946,3788814,"TDCC 309 B/L Export - Customs                                                   "
68,67,75946,3858530,"TDCC 309 B/L Export - Customs                                                   "
69,68,75947,4675991,"TDCC 309 B/L Export - Customs                                                   "
70,69,75947,4687027,"TDCC 309 B/L Export - Customs                                                   "
71,70,75952,3470271,"TDCC 309 B/L Export - Customs                                                   "
72,71,75952,6125677,"TDCC 309 B/L Export - Customs                                                   "
73,72,75953,2906377,"TDCC 309 B/L Export - Customs                                                   "
74,73,75953,4590941,"TDCC 309 B/L Export - Customs                                                   "
75,74,75953,4675668,"TDCC 309 B/L Export - Customs                                                   "
76,75,75953,4715696,"TDCC 309 B/L Export - Customs                                                   "
77,76,75953,5520694,"TDCC 309 B/L Export - Customs                                                   "
78,77,75953,5714900,"TDCC 309 B/L Export - Customs                                                   "
79,78,75953,5734388,"TDCC 309 B/L Export - Customs                                                   "
80,79,75953,5784296,"TDCC 309 B/L Export - Customs                                                   "
81,80,75953,6172436,"TDCC 309 B/L Export - Customs                                                   "
82,81,75958,5806616,"TDCC 309 B/L Export - Customs                                                   "
83,82,75960,6071019,"TDCC 309 B/L Export - Customs                                                   "
84,83,75960,6099435,"TDCC 309 B/L Export - Customs                                                   "
85,84,75960,6106126,"TDCC 309 B/L Export - Customs                                                   "
86,85,75961,3540472,"TDCC 309 B/L Export - Customs                                                   "
87,86,75965,6287716,"TDCC 309 B/L Export - Customs                                                   "
88,87,75965,6295649,"TDCC 309 B/L Export - Customs                                                   "
89,88,75965,6308185,"TDCC 309 B/L Export - Customs                                                   "
90,89,75973,6165210,"TDCC 309 B/L Export - Customs                                                   "
91,90,75973,6183055,"TDCC 309 B/L Export - Customs                                                   "
92,91,75974,4605072,"TDCC 309 B/L Export - Customs                                                   "
93,92,75980,5368822,"TDCC 309 B/L Export - Customs                                                   "
94,93,75988,3778222,"TDCC 309 B/L Export - Customs                                                   "
95,94,75988,4181766,"TDCC 309 B/L Export - Customs                                                   "
96,95,75995,3032431,"TDCC 309 B/L Export - Customs                                                   "
97,96,76001,2627085,"TDCC 309 B/L Export - Customs                                                   "
98,97,76007,3954185,"TDCC 309 B/L Export - Customs                                                   "
99,98,76015,4352046,"TDCC 309 B/L Export - Customs                                                   "
100,99,76016,3540076,"TDCC 309 B/L Export - Customs                                                   "
101,100,76016,4444732,"TDCC 309 B/L Export - Customs                                                   "
102,101,76016,4516347,"TDCC 309 B/L Export - Customs                                                   "
103,102,76016,4525626,"TDCC 309 B/L Export - Customs                                                   "
104,103,76021,4303590,"TDCC 309 B/L Export - Customs                                                   "
105,104,76021,4366401,"TDCC 309 B/L Export - Customs                                                   "
106,105,76028,4159643,"TDCC 309 B/L Export - Customs                                                   "
107,106,76035,5705694,"TDCC 309 B/L Export - Customs                                                   "
108,107,76035,5780571,"TDCC 309 B/L Export - Customs                                                   "
109,108,76039,5586655,"TDCC 309 B/L Export - Customs                                                   "
110,109,76043,5132447,"TDCC 309 B/L Export - Customs                                                   "
111,110,76043,5177190,"TDCC 309 B/L Export - Customs                                                   "
112,111,76043,5321846,"TDCC 309 B/L Export - Customs                                                   "
113,112,76043,5348858,"TDCC 309 B/L Export - Customs                                                   "
114,113,76049,5337380,"TDCC 309 B/L Export - Customs                                                   "
115,114,76049,5441105,"TDCC 309 B/L Export - Customs                                                   "
116,115,76053,5174146,"TDCC 309 B/L Export - Customs                                                   "
117,116,76056,4762138,"TDCC 309 B/L Export - Customs                                                   "
118,117,76056,4807771,"TDCC 309 B/L Export - Customs                                                   "
