"Rec No","Packid","Packprincipal","Packcode","Packdescription"
2,1,0,"BA        ","Barrel              "
5,4,0,"CR        ","Crate               "
6,5,0,"PX        ","Pallet              "
11,10,0,"SI        ","Skid                "
12,11,0,"PCS       ","Piece               "
14,13,0,"BX        ","BOX                 "
21,17,0,"PK        ","Package             "
35,28,0,"PLC       ","Plastic Container   "
40,33,0,"BG        ","Bag                 "
44,34,0,"CNT       ","D Container         "
46,36,0,"BI        ","BIN                 "
48,37,0,"BIN B     ","Binbox              "
49,38,0,"SC        ","Suite Case          "
50,39,0,"CNT 2     ","E CONTAINER         "
51,40,0,"TNT       ","TENT                "
53,41,0,"LG        ","LIGHTS              "
54,42,0,"TO        ","TONERS              "
