"Rec No","Vesid","Vescode","Vesname","Vesowner","Vesmaxgrt","Vesmaxnrt","Veslength","Vesmaxdraught","Vesmaxbeam","Vesoperator","Vesregcity","Veslloydnumber","Vesshpconf","Vesbowthrust","Vesnationality","Vesdatebuilt","Vescallsign","Vesofficalnumber"
2,1,"ZIM       ","ZIM JAMAICA                                       ",1,"0","0","0.00","0.00","0.00","                              ","                              ","9113680             ","                         ",0,"                              ",0,"                    ","                    "
3,2,"ZIM       ","Zim USA                                           ",1,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
4,3,"ZIM       ","ZIM CANADA                                        ",1,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
5,4,"ZIM       ","ZIM ASIA                                          ",1,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
7,6,"ZIMIB     ","Zim Iberia                                        ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
9,7,"ZA        ","ZIM ATLANTIC                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
10,8,"ZP        ","Zim Panama                                        ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9231781             ","                         ",0,"                              ",0,"                    ","                    "
13,9,"SBD       ","SEABOARD RIO HAINA                                ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
15,10,"SBDCAR    ","Seaboard Caribbean                                ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
17,11,"ZIM SAV   ","ZIM SAVANNAH                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9282974             ","                         ",0,"                              ",0,"                    ","                    "
20,12,"ZIM HA    ","ZIM HAIFA                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9288904             ","                         ",0,"                              ",0,"                    ","                    "
21,13,"ZIMV      ","Zim Virginia                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9231808             ","                         ",0,"                              ",0,"                    ","                    "
22,14,"ZIM QUIN  ","ZIM QINGDAO                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9318163             ","                         ",0,"                              ",0,"                    ","                    "
23,15,"ZIM S Z   ","ZIM SHEN ZHEN                                     ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9280859             ","                         ",0,"                              ",0,"                    ","                    "
24,16,"ZIM PIR   ","Zim PIRAEUS                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9280847             ","                         ",0,"                              ",0,"                    ","                    "
25,17,"ZIM MED   ","Zim Mediterranean                                 ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9231779             ","                         ",0,"                              ",0,"                    ","                    "
26,18,"ZIM CAL   ","Zim California                                    ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9231793             ","                         ",0,"                              ",0,"                    ","                    "
27,19,"K-WIN     ","K-Wind                                            ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
29,21,"ZIM BEJ   ","ZIM BEIJING                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9289544             ","                         ",0,"                              ",0,"                    ","                    "
30,22,"ZIM NY    ","ZIM NEW YORK                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9231810             ","                         ",0,"                              ",0,"                    ","                    "
32,23,"ZIM PUS   ","Zim PUSAN                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9280861             ","                         ",0,"                              ",0,"                    ","                    "
33,24,"ZIM BAR   ","ZIM BARCELONA                                     ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9280835             ","                         ",0,"                              ",0,"                    ","                    "
36,25,"          ","                                                  ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
37,26,"ZIM SHG   ","Zim SHANGHAI                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9231822             ","                         ",0,"                              ",0,"                    ","                    "
38,27,"CL        ","CLIFF                                             ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
40,28,"HB        ","HANEBURG                                          ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
42,29,"HR        ","HEINRICH                                          ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
44,30,"MK        ","MAREIKE                                           ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
49,31,"NIK       ","VEGA NIKOLAS                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9449687             ","                         ",0,"                              ",0,"                    ","                    "
54,32,"MT        ","MAAS TRADER                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9308625             ","                         ",0,"                              ",0,"                    ","                    "
58,33,"ZIM FRAN  ","ZIM SAN FRANCISCO                                 ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9400112             ","                         ",0,"                              ",0,"                    ","                    "
